krb5	Network authentication protocol	https://web.mit.edu/kerberos/
lame	High quality MPEG Audio Layer III (MP3) encoder	https://lame.sourceforge.io/
lazydocker	Lazier way to manage everything docker	https://github.com/jesseduffield/lazydocker
lazygit	Simple terminal UI for git commands	https://github.com/jesseduffield/lazygit/
lazysql	Cross-platform TUI database management tool	https://github.com/jorgerojas26/lazysql
leptonica	Image processing and image analysis library	http://www.leptonica.org/
libarchive	Multi-format archive and compression library	https://www.libarchive.org
libass	Subtitle renderer for the ASS/SSA subtitle format	https://github.com/libass/libass
libassuan	Assuan IPC Library	https://www.gnupg.org/related_software/libassuan/
libavif	Library for encoding and decoding .avif files	https://github.com/AOMediaCodec/libavif
libb2	Secure hashing function	https://blake2.net/
libbluray	Blu-Ray disc playback library for media players like VLC	https://www.videolan.org/developers/libbluray.html
libdatrie	Double-Array Trie Library	https://github.com/tlwg/libdatrie
libde265	Open h.265 video codec implementation	https://github.com/strukturag/libde265
libdeflate	Heavily optimized DEFLATE/zlib/gzip compression and decompression	https://github.com/ebiggers/libdeflate
libepoxy	Library for handling OpenGL function pointer management	https://github.com/anholt/libepoxy
libffi	Portable Foreign Function Interface library	https://sourceware.org/libffi/
libgcrypt	Cryptographic library based on the code from GnuPG	https://gnupg.org/related_software/libgcrypt/
libgit2	C library of Git core methods that is re-entrant and linkable	https://libgit2.org/
libgpg-error	Common error values for all GnuPG components	https://www.gnupg.org/related_software/libgpg-error/
libheif	ISO/IEC 23008-12:2017 HEIF file format decoder and encoder	https://www.libde265.org/
libidn	International domain name library	https://www.gnu.org/software/libidn/
libidn2	International domain name library (IDNA2008, Punycode and TR46)	https://www.gnu.org/software/libidn/#libidn2
libimagequant	Palette quantization library extracted from pnquant2	https://pngquant.org/lib/
libksba	X.509 and CMS library	https://www.gnupg.org/related_software/libksba/
liblqr	C/C++ seam carving library	https://liblqr.wikidot.com/
libmicrohttpd	Light HTTP/1.1 server library	https://www.gnu.org/software/libmicrohttpd/
libnghttp2	HTTP/2 C Library	https://nghttp2.org/
libnghttp3	HTTP/3 library written in C	https://nghttp2.org/nghttp3/
libngtcp2	IETF QUIC protocol implementation	https://nghttp2.org/ngtcp2/
libogg	Ogg Bitstream Library	https://www.xiph.org/ogg/
libomp	LLVM's OpenMP runtime library	https://openmp.llvm.org/
libplacebo	Reusable library for GPU-accelerated image/video processing primitives	https://code.videolan.org/videolan/libplacebo
libpng	Library for manipulating PNG images	https://www.libpng.org/pub/png/libpng.html
libpq	Postgres C API library	https://www.postgresql.org/docs/current/libpq.html
libraqm	Library for complex text layout	https://github.com/HOST-Oman/libraqm
libraw	Library for reading RAW files from digital photo cameras	https://www.libraw.org/
libre	Toolkit library for asynchronous network I/O with protocol stacks	https://github.com/baresip/re
librist	Reliable Internet Stream Transport (RIST)	https://code.videolan.org/rist/
